industry,ai_roi_index,workforce_disruption_index,ai_adoption_score,rev_per_employee,operating_margin
Financial Services,81.72,67.76,0.23337671117048345,0.6427260901255158,0.15723723914079643
Technology,80.4,49.9,0.2491357469269222,0.486283412954146,0.16107449199040688
Professional Services,79.06,44.95,0.20956371046720468,0.5505888594846093,0.16058528744068445
Retail,50.64,46.97,0.23534548292768973,0.5880673987091443,0.14853808335721932
Private Equity,49.0,40.62,0.23115546916369195,0.5685167687667741,0.14884286120990436
Agriculture,44.71,30.61,0.19457068987412451,0.5003069316570058,0.15152923840171972
Telecommunications,44.22,62.89,0.25317759720618627,0.4245958839112207,0.1507915963044225
Transportation/Logistics,43.61,54.78,0.20848988164692375,0.4768679541333916,0.15120384547753404
Education,42.3,58.6,0.2771102557275013,0.31456203708913444,0.15249203609191794
Government/Policy,38.29,60.0,0.14836798213899838,0.5936304481800603,0.14874446506092895
Consulting,35.74,44.82,0.23737367762378492,0.4046787839311881,0.14942711853759133
Media,25.49,25.84,0.18112286810661202,0.36729440638065924,0.15014111729742963
Healthcare,20.65,10.06,0.15673523440022732,0.34745949473284676,0.1504343068073557
Energy,13.92,36.83,0.23794335281518955,0.23250554367188847,0.14771704702920266
Manufacturing,10.91,12.97,0.18124073822597056,0.28178880294601233,0.1480489770057456
