industry,scenario,projected_roi_2030,ci_lower,ci_upper
Financial Services,Conservative,85.80180972280715,83.08572746995024,88.60417582397162
Financial Services,Moderate,93.98228944745246,87.47762268684815,100.0
Financial Services,Aggressive,99.15238337858698,93.79844428795201,100.0
Technology,Conservative,84.51077295587721,81.71194251720087,87.17308974040216
Technology,Moderate,92.42784846872068,85.79962643113292,98.99313770565458
Technology,Aggressive,98.6442564758701,91.39074111932186,100.0
Professional Services,Conservative,83.02298118859639,80.42446388334716,85.61144830952874
Professional Services,Moderate,90.81639347735155,84.6463355672682,97.23456026198349
Professional Services,Aggressive,97.91483938525882,89.14338313450227,100.0
Retail,Conservative,53.14114675415872,51.41114291401133,54.843753552525236
Retail,Moderate,58.213239321401055,54.22984435541871,62.300507493598886
Retail,Aggressive,65.70576695794279,56.97766136394592,74.17078124887051
Private Equity,Conservative,51.43320056137498,49.85590733116191,53.01719445975402
Private Equity,Moderate,56.4240089052471,52.5466470987259,60.41341932507629
Private Equity,Aggressive,63.808477556940694,55.5602223982784,71.72131645069076
Agriculture,Conservative,47.02311380042885,45.41568157910697,48.49530572689326
Agriculture,Moderate,51.391182948149066,47.84480503363518,55.102952739235036
Agriculture,Aggressive,58.22131180217443,51.168423851258204,65.36980646710262
Telecommunications,Conservative,46.3898137173794,44.97723268854266,47.83605455388668
Telecommunications,Moderate,50.84645069705185,47.34204266542599,54.35064737811394
Telecommunications,Aggressive,57.57512031134045,50.38203662799888,64.80943147572049
Transportation/Logistics,Conservative,45.7640863809467,44.34656399562433,47.10132281194278
Transportation/Logistics,Moderate,50.054045056257834,46.33918503152447,53.60030481629562
Transportation/Logistics,Aggressive,56.652938365035865,49.23070496863533,63.70652478743904
Education,Conservative,44.40635565923628,42.982188087608534,45.874118768211524
Education,Moderate,48.630269011094484,45.153787956421716,51.99213438051017
Education,Aggressive,55.035004113838454,47.923504264521725,62.093101248019885
Government/Policy,Conservative,40.18577581521421,38.900023243335895,41.524862677512814
Government/Policy,Moderate,44.017447233164965,41.011352735132405,47.16529221570953
Government/Policy,Aggressive,49.91472430640411,43.11225820985787,56.399844942643774
Consulting,Conservative,37.50607637349445,36.28421401589157,38.69478208123799
Consulting,Moderate,41.19715335647136,38.470404749470994,44.373341442414834
Consulting,Aggressive,46.40485601540265,40.60774877893428,52.26977478033279
Media,Conservative,26.76408181984414,25.959599252451476,27.625890600549752
Media,Moderate,29.27878112807255,27.123751996860225,31.503748649844
Media,Aggressive,33.09229824570788,28.894100137625813,37.240803525458745
Healthcare,Conservative,21.670264747823154,20.996403268921778,22.36291475721476
Healthcare,Moderate,23.70543417291666,21.98536963604747,25.40285109049977
Healthcare,Aggressive,26.822064352700895,23.127231573813503,30.445946916694105
Energy,Conservative,14.612310781343451,14.13249455262912,15.039015883621682
Energy,Moderate,16.044464975736396,14.949850666340756,17.15016515646656
Energy,Aggressive,18.042270437621315,15.803839177919913,20.204794315524012
Manufacturing,Conservative,11.44738460544508,11.082150733627868,11.819196492313715
Manufacturing,Moderate,12.54527923756542,11.604813923972864,13.46782439319355
Manufacturing,Aggressive,14.238491813214317,12.471587807050089,16.06316377859338
